"Time","value gNb-1-C1","value gNb-3-C2","value gNb-6-C3"
1764936761382,undefined,undefined,21
1764936761391,undefined,49,undefined
1764936761398,21,undefined,undefined
1764936761884,undefined,undefined,21
1764936761894,undefined,49,undefined
1764936761901,21,undefined,undefined
1764936762388,undefined,undefined,22
1764936762395,undefined,49,undefined
1764936762403,21,undefined,undefined
1764936762892,undefined,undefined,22
1764936762899,undefined,49,undefined
1764936762907,21,undefined,undefined
1764936763389,21,undefined,undefined
1764936763394,undefined,undefined,22
1764936763402,undefined,49,undefined
1764936763894,21,undefined,undefined
1764936763897,undefined,undefined,22
1764936763906,undefined,49,undefined
1764936764389,undefined,49,undefined
1764936764397,21,undefined,undefined
1764936764398,undefined,undefined,22
1764936764894,undefined,49,undefined
1764936764902,21,undefined,undefined
1764936764903,undefined,undefined,22
1764936765386,undefined,undefined,22
1764936765396,undefined,49,undefined
1764936765404,21,undefined,undefined
1764936765890,undefined,undefined,22
1764936765901,undefined,49,undefined
1764936765909,21,undefined,undefined
1764936766392,undefined,undefined,23
1764936766403,undefined,49,undefined
1764936766412,21,undefined,undefined
1764936766896,21,undefined,23
1764936766909,undefined,49,undefined
1764936767392,undefined,49,undefined
1764936767398,undefined,undefined,23
1764936767399,21,undefined,undefined
1764936767896,undefined,49,undefined
1764936767902,undefined,undefined,23
1764936767903,21,undefined,undefined
1764936768399,undefined,49,undefined
1764936768404,undefined,undefined,23
1764936768405,21,undefined,undefined
1764936768903,undefined,49,undefined
1764936768907,undefined,undefined,23
1764936768909,21,undefined,undefined
1764936769389,undefined,undefined,23
1764936769406,undefined,49,undefined
1764936769411,21,undefined,undefined
1764936769893,undefined,undefined,23
1764936769910,undefined,49,undefined
1764936769915,21,undefined,undefined
1764936770395,undefined,undefined,23
1764936770397,21,undefined,undefined
1764936770412,undefined,49,undefined
1764936770899,undefined,undefined,23
1764936770901,21,undefined,undefined
1764936770917,undefined,49,undefined
1764936771400,undefined,49,23
1764936771403,21,undefined,undefined
1764936771904,undefined,49,undefined
1764936771905,undefined,undefined,23
1764936771906,21,undefined,undefined
1764936772406,undefined,undefined,23
1764936772407,undefined,49,undefined
1764936772408,21,undefined,undefined
1764936772912,undefined,49,23
1764936772913,21,undefined,undefined
