"Time","value gNb-1-C1","value gNb-3-C2","value gNb-6-C3"
1764936762000,22,21,23
1764936763000,22,21,23
1764936764000,22,21,24
1764936765000,22,21,24
1764936766000,22.5,21,24.5
1764936767000,23,21,25
1764936768000,23,21,25
1764936769000,23,21,25
1764936770000,23,21,25
1764936771000,23,21,25.5
1764936772000,23,21,26
1764936773000,23,21,26
1764936774000,23,21,26
1764936775000,23,21,26
1764936776000,23,21,26.5
1764936777000,24,21,27
1764936778000,24,21,27
1764936779000,24,21,27
1764936780000,24,21,27.5
1764936781000,24,21,28
1764936782000,24,21,28
1764936783000,24.5,21,28
1764936784000,25,21,29
1764936785000,25,21,29
1764936786000,25,21,29
1764936787000,25,21,30
1764936788000,25,21,30
1764936789000,26,21,30
1764936790000,26,21,30.5
1764936791000,26,21,31
1764936792000,26,21,31
1764936793000,26,21,32
1764936794000,26.5,21,32
1764936795000,27,21,32.5
1764936796000,27,21,33
1764936797000,27,21,33
1764936798000,27,21,34
1764936799000,27.5,21,34
1764936800000,28,21,34.5
1764936801000,28,21,35
1764936802000,28,21,35
1764936803000,28.5,21,36
1764936804000,29,21,36
1764936805000,29,21,37
1764936806000,29,21,37
1764936807000,29.5,21,38
1764936808000,30,21,38
1764936809000,30,21,39
1764936810000,30,21,39
1764936811000,30,21,40
1764936812000,31,21,40.5
1764936813000,31,21,41
1764936814000,31.5,21,41.5
1764936815000,32,21,42
1764936816000,32,21,43
1764936817000,32,21,43.5
1764936818000,33,21,44
1764936819000,33,16,45
1764936820000,33,12,45.5
1764936821000,34,8,46.5
1764936822000,34,4,46
1764936823000,34,0,47
1764936824000,35,0,47.5
1764936825000,35,0,48
1764936826000,35,0,49
1764936827000,36,0,49.5
1764936828000,36,0,50
1764936829000,36,0,51
1764936830000,37,0,52
1764936831000,37,0,53
1764936832000,37.5,0,54
1764936833000,38,0,55
1764936834000,38,0,55.5
1764936835000,38.5,0,56.5
1764936836000,39,0,57
1764936837000,39.5,0,58
1764936838000,40,0,59
1764936839000,40,0,60
1764936840000,40,0,61
1764936841000,41,0,62
1764936842000,41,0,63
1764936843000,42,0,64
1764936844000,42,0,65
1764936845000,42.5,0,66
1764936846000,43,0,67
1764936847000,43,0,68.5
1764936848000,44,0,70
1764936849000,44,0,71
1764936850000,44.5,0,72
1764936851000,45,0,73
1764936852000,45,0,74
1764936853000,46,0,75
1764936854000,46,0,75.5
1764936855000,46.5,0,76
1764936856000,47,0,77
1764936857000,47,0,77
1764936858000,47.666666666666664,0,78
1764936859000,48,0,78.5
