"Time","value gNb-1-C1","value gNb-3-C2","value gNb-6-C3"
1764936762000,497,15000,486
1764936763000,518,15000,496.5
1764936764000,539,15000,507
1764936765000,561,15000,518
1764936766000,584,15000,539.5
1764936767000,607.5,15000,561.5
1764936768000,632,15000,584
1764936769000,656.5,15000,608
1764936770000,683,15000,632.5
1764936771000,710,15000,657.5
1764936772000,738,15000,683.5
1764936773000,766,15000,711
1764936774000,795.5,15000,739
1764936775000,826,15000,767.5
1764936776000,857,15000,797
1764936777000,889,15000,827
1764936778000,922,15000,858.5
1764936779000,956.5,15000,890.5
1764936780000,991.5,15000,923.5
1764936781000,1027.5,15000,958.5
1764936782000,1064.5,15000,993
1764936783000,1102.5,15000,1029.5
1764936784000,1142,15000,1066.5
1764936785000,1182,15000,1105
1764936786000,1223.5,15000,1144
1764936787000,1265.5,15000,1184.5
1764936788000,1309,15000,1226
1764936789000,1353.5,15000,1268.5
1764936790000,1399.5,15000,1312
1764936791000,1446,15000,1356.5
1764936792000,1494.5,15000,1403
1764936793000,1543.5,15000,1450
1764936794000,1593.5,15000,1497.5
1764936795000,1645,15000,1547
1764936796000,1698,15000,1598
1764936797000,1752,15000,1649
1764936798000,1807,15000,1701.5
1764936799000,1863.5,15000,1756
1764936800000,1921,15000,1811
1764936801000,1980,15000,1867.5
1764936802000,2040,15000,1925.5
1764936803000,2100.5,15000,1984
1764936804000,2164,15000,2044
1764936805000,2227.5,15000,2105.5
1764936806000,2292.5,15000,2168
1764936807000,2358.5,15000,2231
1764936808000,2426.5,15000,2296.5
1764936809000,2495,15000,2362.5
1764936810000,2565.5,15000,2430
1764936811000,2636.5,15000,2499.5
1764936812000,2709.5,15000,2569.5
1764936813000,2783,15000,2640
1764936814000,2858.5,15000,2712.5
1764936815000,2934.5,15000,2786
1764936816000,3011.5,15000,2860.5
1764936817000,3090,15000,2937
1764936818000,3170,15000,3013.5
1764936819000,3250.5,12000,3092.5
1764936820000,3331.5,9000,3172
1764936821000,3415,6000,3644.5
1764936822000,3499,3000,3334
1764936823000,3584,0,3417
1764936824000,3670,0,3501
1764936825000,3757.5,0,4190
1764936826000,3846,0,3672
1764936827000,3935.5,0,3759
1764936828000,4025.5,0,3847
1764936829000,4117.5,0,3936.5
1764936830000,4209.5,0,4026.5
1764936831000,4303,0,4117
1764936832000,4399,0,4209
1764936833000,4491.5,0,4301
1764936834000,4589.5,0,4394.5
1764936835000,4683.5,0,4488.5
1764936836000,4779.5,0,4583.5
1764936837000,4884.5,0,4679
1764936838000,4979,0,4776
1764936839000,5074.5,0,4872.5
1764936840000,5180.5,0,4970.5
1764936841000,5279.5,0,5068.5
1764936842000,5372,0,5169.5
1764936843000,5482,0,5266
1764936844000,5579.5,0,5366
1764936845000,5673,0,5467.5
1764936846000,5783.5,0,5566
1764936847000,5884,0,5666
1764936848000,5980,0,5772
1764936849000,6086.5,0,5867
1764936850000,6187.5,0,5968
1764936851000,6288.5,0,6069
1764936852000,6389.5,0,6175
1764936853000,6490,0,6273.5
1764936854000,6590,0,6374.5
1764936855000,6690.5,0,6480
1764936856000,6790,0,6575.5
1764936857000,6865,0,6675.5
1764936858000,6963.666666666667,0,6782.5
1764936859000,7086.5,0,6879
1764936860000,7160,0,6973
1764936861000,7256.666666666667,0,7076
