"Time","value gNb-1-C1","value gNb-3-C2","value gNb-6-C3"
1764936762000,156789.5,5584299.5,179213
1764936763000,165660,5719950.5,223580.5
1764936764000,171446,5358214.5,267426
1764936765000,175287.5,5561691,317939
1764936766000,184985.5,5403431.5,322845
1764936767000,195031,5516474,335933
1764936768000,200030.5,5448648.5,355505
1764936769000,209907,5403431.5,364496
1764936770000,216237,5132129.5,388991.5
1764936771000,225674,5019087,398348.5
1764936772000,230026.5,5358214.5,415277.5
1764936773000,238910,5561691,426722
1764936774000,252695.5,5177346.5,454794
1764936775000,258602.5,5674733.5,461694
1764936776000,270739,5584299.5,477077.5
1764936777000,279791,5177346.5,503253.5
1764936778000,289039,5584299.5,515786
1764936779000,302240.5,5674733.5,537294.5
1764936780000,314849.5,5041695.5,561403.5
1764936781000,329490,5448648.5,564129
1764936782000,337998,5561691,591075
1764936783000,353511,5177346.5,619448.5
1764936784000,366131,5199955,644299.5
1764936785000,378675,5561691,666454
1764936786000,382480.5,5606908,682585.5
1764936787000,397498.5,5493865.5,703391.5
1764936788000,417412.5,5245172,739717
1764936789000,429641.5,5245172,774220.5
1764936790000,450355,5493865.5,792326
1764936791000,454414.5,5448648.5,806820
1764936792000,481165.5,5629516.5,851461.5
1764936793000,487317.5,5629516.5,853857.5
1764936794000,500724.5,5561691,892056
1764936795000,519277.5,5335606,923531
1764936796000,536129.5,5312997.5,955868
1764936797000,555393.5,5787776,991822.5
1764936798000,569953,5199955,1000969.5
1764936799000,588306.5,5222563.5,1048457
1764936800000,605834.5,5222563.5,1102527
1764936801000,618399.5,5923427,1130015
1764936802000,648843.5,5290389,1167403
1764936803000,649738.5,5222563.5,1178986
1764936804000,682286,5245172,1237773.5
1764936805000,713209.5,5516474,1263724
1764936806000,732987.5,5403431.5,1302963.5
1764936807000,747263,5629516.5,1356744
1764936808000,779709,5539082.5,1374885
1764936809000,794039,5493865.5,1426520.5
1764936810000,816772.5,5086912.5,1432075
1764936811000,831344.5,5380823,1505715.5
1764936812000,842285.5,5064304,1577642.5
1764936813000,889934.5,5471257,1577230.5
1764936814000,896862.5,5787776,1613637
1764936815000,947499.5,5267780.5,1655034
1764936816000,963147,5335606,1712870
1764936817000,959923,5358214.5,1801722
1764936818000,1004098.5,5064304,1789452
1764936819000,1024984,4476483,1828798.5
1764936820000,1055384.5,3278232.5,1928805
1764936821000,1071513,2283458.5,1696880.5
1764936822000,1108012,1130425,1830095
1764936823000,1129527,0,1862848
1764936824000,1145822.5,0,1963099
1764936825000,1167565,0,2083919
1764936826000,1217471,0,2014491.5
1764936827000,1252614.5,0,2086364.5
1764936828000,1262948,0,2010352
1764936829000,1310769,0,2151852
1764936830000,1346215.5,0,2179852
1764936831000,1336470.5,0,2303200.5
1764936832000,1254981.5,0,2368266.5
1764936833000,1394602.5,0,2387443.5
1764936834000,1300045,0,2283050.5
1764936835000,1504371.5,0,2514607.5
1764936836000,1520938.5,0,2558017
1764936837000,1716133,0,2470126.5
1764936838000,1428065,0,2590945
1764936839000,1615053,0,2607443
1764936840000,1819506,0,2801679.5
1764936841000,1503491,0,2587993
1764936842000,1700836,0,2434559.5
1764936843000,1735826,0,2685886.5
1764936844000,1589197.5,0,2876365
1764936845000,1830929,0,2648477
1764936846000,1848512.5,0,3100739.5
1764936847000,1862997,0,3187598.5
1764936848000,1868180,0,2409112
1764936849000,1908833.5,0,3253066
1764936850000,1939476.5,0,3308200
1764936851000,1981577.5,0,3322061.5
1764936852000,2042296.5,0,2706270.5
1764936853000,2035072.5,0,2891623.5
1764936854000,2096610.5,0,3046049
1764936855000,2108503,0,3183820.5
1764936856000,2160013,0,3197940.5
1764936857000,2151455,0,3405025
1764936858000,2204202.6666666665,0,3827989.5
1764936859000,2222553.5,0,3531865
1764936860000,2288300,0,3391163.5
1764936861000,2290365.6666666665,0,3618081.5
1764936862000,2313337,11389,3874583
1764936863000,2266111,114330,2866726.5
1764936864000,2231589,115749.66666666667,3418489
1764936865000,2315698,117123,3963522
1764936866000,2328490,118179.5,3784753.6666666665
1764936867000,2349843,119874.66666666667,3558148.5
1764936868000,2400656,121222,3980141.5
1764936869000,2380516.5,122213.5,4334864
1764936870000,2430944.5,123847,3588017.6666666665
1764936871000,2444807.5,125144,4254389.5
1764936872000,2507412.5,126078.5,4244884
1764936873000,2496282.5,140142.5,4336753
1764936874000,2571754.5,141412,4323190
1764936875000,2584572.5,103843.5,3977167
1764936876000,2607944,104719,4621872.5
1764936877000,2593076.5,118804,4682137.5
1764936878000,2655991.5,133213,4380679.5
1764936879000,2638841,120751,4843042
1764936880000,2660441.5,148885,4785206.5
1764936881000,2695784,122765.5,4654001
1764936882000,2743526,164822,4935735.5
1764936883000,2791324,124520.5,4689534
1764936884000,2742551.5,181126.5,4440819.5
1764936885000,2761710,126115,4912989
1764936886000,2822115.5,140964.5,4891221
1764936887000,2853550.5,127658.5,5190266
1764936888000,2814845.5,128415,5167384
1764936889000,2816863,129083,5001562
1764936890000,2847072.5,115357.5,4970305
1764936891000,2862036.5,144917.5,5258409.5
1764936892000,2890482.5,116445.5,5133683
1764936893000,2903969,146196,5047339
1764936894000,2917029.5,146747.5,5084933
1764936895000,2958382,147292,5152529
1764936896000,2954652.5,133044,5204347
1764936897000,2921015,148283,5270675.5
1764936898000,2989906.5,163573,5140122
1764936899000,2954391,104366,5366114.5
1764936900000,2962537.5,149429,5401264.5
1764936901000,2954691,149738,5683503
1764936902000,2961387,150001.5,5254870.5
1764936903000,3041905,150216,5474805
1764936904000,3046824.5,165440.5,5515073
1764936905000,3035891.5,150539,5674629
1764936906000,3024045.5,150634.5,5429844
1764936907000,2996355,150700,5422580
1764936908000,2982719.5,150700,5187973
1764936909000,3028665,165756,5297196.5
1764936910000,2998420,135542.5,5405082
1764936911000,3012552,180620.5,5165649
1764936912000,3040851.5,150348,5180346
1764936913000,3038251,150157,5404059.5
1764936914000,3049771,149928.5,5461586.5
1764936915000,2985395.5,149649.5,5321606.5
1764936916000,2995374,164271.5,5419571.5
1764936917000,2974489,148973.5,4993663.5
1764936918000,2952780.5,148570,5491972.5
1764936919000,2960290.5,148150.5,5031934
1764936920000,2996251.5,147644,5260989.5
1764936921000,2986924.5,161818,5574880.5
1764936922000,2903330,161267,5752432.5
1764936923000,2966062.5,116783.5,5381213
1764936924000,2954368.5,145321,5346777.5
1764936925000,2913103,159164,4991107
1764936926000,2914627.5,143992,5186252
1764936927000,2929871,143241.5,5007889
1764936928000,2843129,156689.5,5359188.5
1764936929000,2856546.5,127431,4888690
1764936930000,2812365,112609.5,5442169.5
1764936931000,2767413,139900,5184777.5
1764936932000,2820472,138914,5082316
1764936933000,2760520,151890.5,4945306.5
1764936934000,2770096,123308.5,5059811.5
1764936935000,2750147.5,136042.5,4894559.5
1764936936000,2744225.5,135012.5,4913065.5
1764936937000,2696892,133940.5,4714621.5
1764936938000,2689315,132845.5,4966803.5
1764936939000,2640984.5,131721,4985506.5
1764936940000,2632251.5,130560.5,4367548.5
1764936941000,2648772,129384,4950133.5
1764936942000,2573165.5,128180,4758319
1764936943000,2575385,126952.5,4918805.5
1764936944000,2257878,125703.5,4210178.5
1764936945000,2539485.5,124432,4505708
1764936946000,2513799.5,123132.5,5040739.5
1764936947000,2450300.5,121816.5,4880046.5
1764936948000,2215473,120480,4301832
1764936949000,2422849,119135,4333664
1764936950000,2384059,117761,4501669
1764936951000,2118295.5,104740.5,4546855
1764936952000,2353101,114976,4197329.5
1764936953000,2312132.5,113558,4254178
1764936954000,2055284.5,45026.5,4302756
1764936955000,2279100,0,4147008
1764936956000,2226823.5,0,4256646
1764936957000,2152292,0,4009325.5
1764936958000,1962960,0,4078755
1764936959000,1945131,0,4104567
1764936960000,2076574,0,3947059
1764936961000,1861303.5,0,3768732.5
1764936962000,1825093.5,0,3877279.5
1764936963000,2018105,0,3818912
1764936964000,2007828,0,3877763
1764936965000,1763247,0,3759743.5
1764936966000,1928629,0,3721672.5
1764936967000,1897824,0,3063634.5
1764936968000,1690812.5,0,3348836
1764936969000,1643328,0,3239107.5
1764936970000,1806422.5,0,2694007
1764936971000,1792285,0,3264869
1764936972000,1596106.5,0,3294873.5
1764936973000,1705731,0,2752928
1764936974000,1700180,0,2508454
1764936975000,1636904,0,3113433.5
1764936976000,1664157,0,3072541
1764936977000,1601371,0,2428602.5
1764936978000,1556159,0,3033333.5
1764936979000,1535153.5,0,2689025
1764936980000,1512629.5,0,2662975.5
1764936981000,1475233,0,2580730.5
1764936982000,1424138.5,0,2310620
1764936983000,1402290.5,0,2117120.5
1764936984000,1401340,0,2275522
1764936985000,1365767.5,0,2564113
1764936986000,1337026.5,0,2108783
1764936987000,1315431,0,2501082.5
1764936988000,1261552.5,0,2215999.5
1764936989000,1278063.5,0,1852413.5
1764936990000,1212900.5,0,2327453.5
1764936991000,1191900,0,2019559
1764936992000,1159697,0,1715551
1764936993000,1132595.5,0,2310959
1764936994000,1117964.5,0,1947514
1764936995000,1097490,0,1693741.5
1764936996000,1039161.5,0,2010195.5
1764936997000,1050266,0,2029296
1764936998000,1019959.5,0,1788817
1764936999000,985369,0,1964365
1764937000000,951442.5,0,1916891
1764937001000,931873,0,1566736.5
1764937002000,913456.5,0,1722483.5
1764937003000,889880,0,1730024.5
1764937004000,853590,0,1439845.5
1764937005000,852656,0,1634219
1764937006000,826454.5,0,1679174.5
1764937007000,800270,0,1494780.5
1764937008000,778842,0,1454354
1764937009000,764942,0,1405308
1764937010000,733034.5,0,1389078.5
1764937011000,709259.5,0,1359739
1764937012000,693055,0,1341800
1764937013000,683702,0,1305058.5
1764937014000,660616,0,1275335.5
1764937015000,641536,0,1341443.5
1764937016000,613904,0,1239056
1764937017000,592704.5,0,1162761
1764937018000,581022.5,0,1121287.5
1764937019000,575219.5,0,1087830.5
1764937020000,552264.5,0,1015782.5
1764937021000,530371.5,0,1032080.5
1764937022000,508867.5,0,1090095.5
1764937023000,495126,0,917302
1764937024000,489825.5,0,990824
1764937025000,469622.5,0,877516.5
1764937026000,459316,0,894665
1764937027000,442621.5,0,864430.5
1764937028000,430434.5,0,882988.5
1764937029000,416136,0,805236
1764937030000,394649,0,775756
1764937031000,387190.5,0,796666.5
1764937032000,370772,0,765562
1764937033000,358060.5,0,707507
1764937034000,344231,0,677514
1764937035000,342650.5,0,682306.5
1764937036000,319703,0,639237
1764937037000,311653.5,0,652134
1764937038000,302437,0,595362
1764937039000,291664.5,0,598532
1764937040000,288442,0,520629
1764937041000,269959.5,0,556156
1764937042000,258846.5,0,504580.5
1764937043000,254307.5,0,475881
1764937044000,240393,0,470253.5
1764937045000,234959,0,452478.5
