"Time","value gNb-1-C1","value gNb-3-C2","value gNb-6-C3"
1764936762000,54759.5,365,0
1764936763000,58929.5,438,0
1764936764000,67091,73,0
1764936765000,68172,146,764
1764936766000,73079.5,109.5,778
1764936767000,75684.5,0,1454.5
1764936768000,76836,292,1719
1764936769000,78675.5,328.5,0
1764936770000,75613.5,146,911
1764936771000,86440.5,255.5,1132
1764936772000,89690,146,0
1764936773000,103786,109.5,0
1764936774000,112723,146,0
1764936775000,103655,109.5,1293
1764936776000,100007,511,0
1764936777000,96750.5,292,0
1764936778000,114774.5,292,1146
1764936779000,121506,365,0
1764936780000,138507.5,438,2719
1764936781000,132809,219,1573
1764936782000,115702.5,146,0
1764936783000,127532.5,146,0
1764936784000,123159.5,292,0
1764936785000,122242,146,0
1764936786000,142733.5,146,0
1764936787000,172279,292,0
1764936788000,164351,219,0
1764936789000,153967,219,2013
1764936790000,181626.5,73,0
1764936791000,183817,146,4306
1764936792000,178184,182.5,2116
1764936793000,194145,474.5,2205
1764936794000,186123.5,73,0
1764936795000,196025,255.5,0
1764936796000,199799.5,401.5,0
1764936797000,218819.5,146,2484
1764936798000,203829.5,474.5,0
1764936799000,234332.5,182.5,0
1764936800000,215010,146,2586
1764936801000,248880,219,0
1764936802000,222002,365,5834
1764936803000,261005.5,73,2777
1764936804000,286438,109.5,0
1764936805000,274868.5,292,2895
1764936806000,285635,146,0
1764936807000,302835,219,0
1764936808000,298257.5,146,3792
1764936809000,259856.5,511,3895
1764936810000,297932.5,365,3703
1764936811000,313385,73,0
1764936812000,324943.5,146,3924
1764936813000,313237,292,0
1764936814000,310373,182.5,4100
1764936815000,362519,401.5,0
1764936816000,321135.5,255.5,0
1764936817000,364563,219,8714
1764936818000,426727,109.5,0
1764936819000,397193.5,0,0
1764936820000,376797.5,73,0
1764936821000,431838.5,73,4496
1764936822000,406114.5,73,0
1764936823000,452766,0,0
1764936824000,450362,0,5217
1764936825000,393465,0,0
1764936826000,498150.5,0,5203
1764936827000,498630.5,0,10948
1764936828000,513639.5,0,0
1764936829000,552009,0,0
1764936830000,494434,0,0
1764936831000,567454,0,0
1764936832000,436775.5,0,6451
1764936833000,490423,0,6524
1764936834000,528189,0,0
1764936835000,517550,0,6422
1764936836000,619295,0,0
1764936837000,682557.5,0,0
1764936838000,481407,0,7288
1764936839000,701882,0,0
1764936840000,688970.5,0,0
1764936841000,595706,0,15033
1764936842000,652033.5,0,7979
1764936843000,680943,0,0
1764936844000,617476,0,0
1764936845000,652670.5,0,0
1764936846000,736524.5,0,0
1764936847000,699666.5,0,0
1764936848000,757953,0,0
1764936849000,769622,0,0
1764936850000,671828,0,9200
1764936851000,677927,0,0
1764936852000,823108,0,0
1764936853000,743251.5,0,18193
1764936854000,753707,0,0
1764936855000,871235,0,10257
