"Time","value gNb-1-C1","value gNb-3-C2","value gNb-6-C3"
1764936762000,238.5,20,242.5
1764936763000,248.5,20,248
1764936764000,258.5,20,253
1764936765000,269,20,258.5
1764936766000,279.5,20,269
1764936767000,290.5,20,280
1764936768000,302,20,292
1764936769000,314,20,303.5
1764936770000,326.5,20,316
1764936771000,339,20,328.5
1764936772000,352.5,20,341.5
1764936773000,365.5,20,355
1764936774000,379.5,20,369
1764936775000,394.5,20,383
1764936776000,409,20,398
1764936777000,424.5,20,413
1764936778000,440,20,429
1764936779000,456,20,445
1764936780000,473,20,461.5
1764936781000,490,20,478.5
1764936782000,507.5,20,496.5
1764936783000,525.5,20,514
1764936784000,544.5,20,533
1764936785000,563.5,20,552
1764936786000,583,20,572
1764936787000,603.5,20,592
1764936788000,624,20,613
1764936789000,645.5,20,633.5
1764936790000,666.5,20,655.5
1764936791000,689,20,678
1764936792000,712,20,701
1764936793000,735,20,724
1764936794000,759,20,748
1764936795000,783.5,20,773
1764936796000,808.5,20,798
1764936797000,834.5,20,823.5
1764936798000,860.5,20,850
1764936799000,887,20,877
1764936800000,915,20,905
1764936801000,942.5,20,933
1764936802000,971,20,962
1764936803000,1000.5,20,991.5
1764936804000,1030,20,1021.5
1764936805000,1061,20,1052
1764936806000,1091.5,20,1083.5
1764936807000,1122.5,20,1115
1764936808000,1155,20,1147.5
1764936809000,1188,20,1180.5
1764936810000,1221.5,20,1214.5
1764936811000,1255,20,1248.5
1764936812000,1290,20,1284
1764936813000,1325,20,1319
1764936814000,1360,20,1355.5
1764936815000,1396.5,20,1392.5
1764936816000,1433,20,1429.5
1764936817000,1470,20,1467.5
1764936818000,1508,20,1506.5
1764936819000,1547,16,1546
1764936820000,1585.5,12,1586
1764936821000,1625,8,1822
1764936822000,1664.5,4,1666.5
1764936823000,1706,0,1707.5
1764936824000,1746.5,0,1749.5
1764936825000,1788,0,2094
1764936826000,1830.5,0,1835
1764936827000,1873,0,1879
1764936828000,1916.5,0,1923
1764936829000,1959.5,0,1967
1764936830000,2003.5,0,2012
1764936831000,2047.5,0,2057.5
1764936832000,2093.5,0,2103.5
1764936833000,2137.5,0,2149.5
1764936834000,2184.5,0,2196.5
1764936835000,2228.5,0,2243.5
1764936836000,2274.5,0,2291
1764936837000,2324,0,2339
1764936838000,2368.5,0,2387
1764936839000,2413.5,0,2436
1764936840000,2464,0,2485
1764936841000,2511.5,0,2534
1764936842000,2555,0,2584
1764936843000,2607.5,0,2632.5
1764936844000,2654,0,2682.5
1764936845000,2698,0,2733.5
1764936846000,2751,0,2782.5
1764936847000,2799,0,2832.5
1764936848000,2845,0,2885
1764936849000,2895,0,2913
1764936850000,2943,0,2892.5
1764936851000,2991,0,2871.5
1764936852000,3039,0,2851.5
1764936853000,3087,0,2846
1764936854000,3135,0,2846
1764936855000,3182,0,2846
1764936856000,3230,0,2846
1764936857000,3265,0,2846
1764936858000,3312.6666666666665,0,2846
1764936859000,3371.5,0,2846
1764936860000,3406,0,2846
1764936861000,3452,0,2833.5
1764936862000,3527,1.5,2807.5
1764936863000,3720,15,2782
1764936864000,3756,14.333333333333334,2755
1764936865000,3815,14,2741
1764936866000,3861,13,2707
1764936867000,3895.5,12.333333333333334,2698
1764936868000,3941.5,12,2698
1764936869000,3986.5,11.5,2698
1764936870000,4031,11,2698
1764936871000,4074.5,10,2698
1764936872000,4117.5,10,2698
1764936873000,4159.5,9,2697.3333333333335
1764936874000,4201.5,9,2698
1764936875000,4243,8,2698
1764936876000,4283,8,2697.5
1764936877000,4322,7,2694
1764936878000,4360.5,7,2663
1764936879000,4397.5,6.5,2631
1764936880000,4434,6,2599
1764936881000,4470,5.5,2568.5
1764936882000,4504.5,5,2552
1764936883000,4538.5,5,2552
1764936884000,4571,4,2552
1764936885000,4603,4,2552
1764936886000,4633.5,3.5,2552
1764936887000,4663,3,2552
1764936888000,4691,3,2552
1764936889000,4718.5,2.5,2552
1764936890000,4744.5,2,2552
1764936891000,4769.5,2,2552
1764936892000,4793,2,2552.5
1764936893000,4815.5,1,2552
1764936894000,4837,1,2552
1764936895000,4857,1,2552
1764936896000,4875.5,1,2552
1764936897000,4893,1,2552
1764936898000,4909,1,2552
1764936899000,4924,1,2552
1764936900000,4937.5,1,2552.5
1764936901000,4949.5,1,2552
1764936902000,4960.5,1,2552
1764936903000,4970,1,2552
1764936904000,4978,1,2552
1764936905000,4984.5,1,2552
1764936906000,4990,1,2552
1764936907000,4994,1,2553
1764936908000,4996.5,1,2552.5
1764936909000,4998,1,2553
1764936910000,4997.5,1,2553
1764936911000,4995.5,1,2552.5
1764936912000,4993,1,2552.5
1764936913000,4988.5,1,2552
1764936914000,4982.5,1,2552
1764936915000,4976,1,2552
1764936916000,4967,1,2552
1764936917000,4957.5,1,2552
1764936918000,4946,1,2552.5
1764936919000,4933.5,1,2552
1764936920000,4919.5,1,2552
1764936921000,4904.5,1,2552
1764936922000,4888,1,2552
1764936923000,4870.5,1.5,2552
1764936924000,4851,2,2552
1764936925000,4831,2,2552
1764936926000,4809,2,2552
1764936927000,4786,3,2552
1764936928000,4762,3,2552
1764936929000,4736.5,3,2552
1764936930000,4710.5,4,2552
1764936931000,4683,4,2552
1764936932000,4654.5,4,2552
1764936933000,4624.5,5,2552
1764936934000,4593,5,2552
1764936935000,4561.5,6,2552
1764936936000,4528.5,6,2552
1764936937000,4494.5,6.5,2552
1764936938000,4459,7,2558
1764936939000,4423,7.5,2588
1764936940000,4386.5,8,2616.5
1764936941000,4348.5,8.5,2645.5
1764936942000,4310.5,9,2674
1764936943000,4271,9.5,2697
1764936944000,4229.5,10,2698
1764936945000,4189.5,10.5,2698
1764936946000,4147.5,11,2697.5
1764936947000,4104.5,12,2697.5
1764936948000,4060,12,2697.5
1764936949000,4017,13,2698
1764936950000,3973,13.5,2698
